
Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
20:5E:F7:60:FA:D6, 2018-07-16 11:14:51, 2018-07-16 11:14:51, -88,        2, (not associated) ,
00:0A:F5:32:D6:84, 2018-07-16 11:15:02, 2018-07-16 11:15:07, -75,       16, 64:70:02:5C:FD:24, Hazza Wifi

